user,time,star,comment
Thảo Xuân,"5 tháng 1, 2022",3,Sh**** rất hay và có thể mua hàng online
Hoài Nguyễn,"30 tháng 12, 2021",4,Nó bị cái gì mà vô toàn lỗi vậy
Hoài Nguyễn,"3 tháng 1, 2022",1,Đăng nhập số đt ko đc hơi bực chút
kênh lung tung tv,"2 tháng 1, 2022",4,Sh**** giao hàng nhanh nhiều giảm giá uy tín
Bảo Nguyễn,"2 tháng 1, 2022",5,Biết cách mua hàng thì bao uy tín nhé
Bảo Nguyễn,"4 tháng 1, 2022",1,Mình rất thích mua hàng trên ưng dụng shoppe
thuỳ Thanh,"4 tháng 1, 2022",2,Giáo hàng nhanh đồ đẹp rất uy tín MN
Tín Huỳnh,"2 tháng 1, 2022",5,App uci mua đồ tiện lợi giao hàng nhanh
Khang Đinh,"2 tháng 1, 2022",1,Tôi không muốn đơn vị Sh**** expess giao hàng
Khang Đinh,"31 tháng 12, 2021",5,Ship lâu mà không tìm phương pháp giải quyết
름눈,"5 tháng 1, 2022",4,Giao hàng tốt mà mặng máy quá lag nữa
Minh Thu Huynh Ngoc,"5 tháng 1, 2022",5,Ứng dụng mua sắm tuyệt vời
Minh Thu Huynh Ngoc,"29 tháng 12, 2021",3,"Phí ship quá cao, nên mua ở lazada. Độc quyền ship bằng Sh**** express. Ko cho khách hàng chọn đơn vị ship, ko cho shop bỏ chọn Sh**** express. $$$$$$$$$$$ ASW: cùng 1 quãng đường nhưng Sh**** ship lâu, phí cao gấp đôi khi gửi các đơn vị ngoài như viettel hay vnpt. Lại bắt phải ship express của họ n...Bài đánh giá đầy đủ"
Hiếu Võ,"31 tháng 12, 2021",3,"Phí vận chuyền thì cao , giao thì lâu...quá kém cỏi. Tệ"
Võ Thông,"6 tháng 1, 2022",5,Đặt có bộ đồ mà gần cả tháng chưa có... Mn nên suy nghĩ lại..
Thu Tiền Nguyễn Thanh,"6 tháng 1, 2022",5,Mong nhà sản xuất giảm bớt dung lượng lại chứ máy nặng quá 😟😟😟😟
12. Lê Như Huỳnh,"6 tháng 1, 2022",5,"Chất lượng sản phẩm tốt, nhân viên giao nhanh"
C2 Phương,"6 tháng 1, 2022",5,Giao hàng nhanh sản phẩm đúng như quảng cáo.
C2 Phương,"6 tháng 1, 2022",5,Quản cáo như cc mà quản cáo lắm vc đmm
Thúy An,"6 tháng 1, 2022",1,Ứng dụng hay moi người nên sử dụng rất tốt
Thúy An,"7 tháng 1, 2022",1,Ko cho tui voucher đm shoppe tui sẻ kiện lên
Jg H,"17 tháng 7, 2020",4,"Giao hàng cực kì lâu, ĐVVC GIAO HÀNG NHANH mà giao 15 - 20 ngày chưa tới tay khách hàng, gặp sản phẩm ko để lâu được giao vậy là toang, liên hệ Sh**** thì xử lí sơ xài chỉ kêu đợi đợi, đợi dài cổ cũng chưa nhận được"
Jg H,"6 tháng 1, 2022",5,"Không đặt hàng được, không thể áp dụng mã giảm giá, .."
Nga Hoang,"30 tháng 12, 2021",1,Rất thích. Mỗi tháng chi vài củ cho Sh****
Thành,"31 tháng 12, 2021",1,"Không mua được đồ ,nhiều cái gia hàng lâu"
Thân Trần,"3 tháng 1, 2022",2,Một ứng dụng mua hàng online rất hữu ích.
Hiền Nguyễn,"4 tháng 1, 2022",4,Chất lượng hàng đầu VN
Hiền Nguyễn,"2 tháng 1, 2022",5,Nơi mua sắm phù hợp với người tiêu dùng.
Thanh Nhã Nguyễn Thị,"3 tháng 1, 2022",5,Shop rất uy tín nhưng giao hơi lâu
Thanh Nhã Nguyễn Thị,"3 tháng 1, 2022",1,Thời đại nào rồi mà xác thực bằng link.
Thu Minh,"3 tháng 1, 2022",5,"Càng ngày ship càng chậm, cả tháng vẫn chưa ship đến, vẫn ở nguyên chỗ cũ. Quá tệ. Khuyên mọi người ko nên dùng! Phản hồi rồi mà chỉ trả lời cho có thôi chứ cũng chả có thay đổi gì đâu."
Thu Minh,"31 tháng 12, 2021",1,Mua hàng online nên rất tiện . tiết kiệm thời gian .
Lợi Trịnh,"4 tháng 1, 2022",1,Khôn nan toan quang cao choi minecra cung co quang cao
Hồng Ngọc,"31 tháng 12, 2021",1,"Mình rất thích, thánh nghiện Sh**** 😇"
Đại Nguyễn,"3 tháng 1, 2022",5,"Phí ship cao, nhưng áp mã nên vẫn ổn"
Bình Minh,"3 tháng 1, 2022",2,"Đơn hàng giao quá lâu, hỗ trợ KH kém"
Bình Minh,"3 tháng 1, 2022",5,Hình như là bị lỗi ròi giảm 50% cho ship 15k mà mik app vào hg đc nếu đc cx hg cho mua thiệt thất vọng vào lời quảng cáo;(((
Hoang Pu,"5 tháng 1, 2022",5,Giao hàng gần 2 tuần mới có._. Còn bị mất xu nữa;-;
Luyện Lovan,"1 tháng 1, 2022",5,Quá trậm loát kém .đơ lác cho 1 sao
Thư Hà,"1 tháng 1, 2022",5,"Ok nha mn, có điều vài lần ko thích"
Thư Hà,"3 tháng 1, 2022",2,Mua gì có Sh**** lo nhưng mà không có tiền😂
Giau Khuungoc,"3 tháng 1, 2022",1,Giao hàng cả tháng chưa thấy đâu . Shoppe ngày càng kém 😠😠😠
Giau Khuungoc,"5 tháng 1, 2022",5,"Từ 3*lên 4* vì trước đây mình ko liên kết đc với ngân hàng Vietinbank thẻ visa ,nhưng h kết nối đc rồi,nạp tiền cũng nhanh ,giao dịch nhanh chóng thuận tiện duy chỉ có 1 điều là lần này mình mua hàng ,hàng rẻ mà ship đắt quá 40k trong nước thì thôi ạ,mình mua hàng q.tế cũng còn ko đắt đến mức đấy ch...Bài đánh giá đầy đủ"
Gia đình hài hước,"2 tháng 1, 2022",1,"Tiện dùng, nhanh nhẹn, mỗi phí ship cao và lâu"
Tuyên Phạm,"2 tháng 1, 2022",2,App nay dung tot lam nha
Tuyên Phạm,"6 tháng 1, 2022",5,Tặng 4 cho Sh**** nak
Thanh Binh Hoang,"1 tháng 1, 2022",1,"Mua hàng nhanh. Đơn giản, tiện lợi"
le đat,"6 tháng 1, 2022",2,Bắt mua đồ r qua 24h là có code ? Code lq đâu:)?
12a3-Ka Hoài,"6 tháng 1, 2022",2,"Uy tín, một số shop làm ăn ko uy tín"
Chaby -TV,"6 tháng 1, 2022",1,có rất nhiều áo đẹp trên đây:3
Chaby -TV,"6 tháng 1, 2022",5,"Chức năng tìm kiếm sản phẩm như hạch. Filter sp giá 50k nhưng hơn 50kq tìm kiếm đầu tiên là sp 140k, 240k, thậm chí không liên quan đến kết quả tìm kiếm. Quảng cáo cho sp của shop khác không tinh tế. Như hạch. Liên hệ hỗ trợ thì HTV báo vui lòng chờ và yc NSD ko gác máy. Nhưng NSD chờ 15' phiên tự t...Bài đánh giá đầy đủ"
Bình Nguyễn,"6 tháng 1, 2022",5,Đăng sản phẩm rất khó chịu khi mà không thể tải ảnh lên. Duyệt sản phẩm quá lâu Mỹ Phẩm điều trị da thì cứ không cho duyệt để hiện thị Sản phẩm đang kinh doanh tự nhiên khóa rồi đăng lại không được Vận chuyển của Sh**** thì quá chậm
Văn hiếu Lưu,"7 tháng 1, 2022",1,Khi nào có dark mode cho 5 sao
